time,id,lat,threshold_l
1685691728697366,SUB2,536,300
1685691728697432,SUB3,421,300
1685691733702738,SUB2,497,300
1685691733702804,SUB3,414,300
1685691738709573,SUB2,506,300
1685691738709638,SUB3,417,300
1685691743715374,SUB2,223,300
1685691743715400,SUB3,198,300
1685691748721080,SUB2,134,300
1685691748721094,SUB3,107,300
1685691753726817,SUB2,629,300
1685691753726884,SUB3,542,300
1685691758734026,SUB2,727,300
1685691758734117,SUB3,642,300
1685691763740761,SUB2,735,300
1685691763740867,SUB3,692,300
1685691768747775,SUB2,595,300
1685691768747840,SUB3,505,300
1685691773754575,SUB2,556,300
1685691773754645,SUB3,469,300
1685691778761337,SUB2,617,300
1685691778761409,SUB3,483,300
1685691783768225,SUB2,560,300
1685691783768297,SUB3,476,300
