time,id,storage
1685691252851021,SUB7,0
1685691252851068,SUB11,3
1685691252851117,SUB12,3
1685691252851161,SUB13,0
1685691253094326,SUB2,0
1685691253094478,SUB3,0
1685691253094583,SUB4,6
1685691253094775,SUB5,6
1685691253094916,SUB11,3
1685691253095028,SUB12,3
1685691253095222,SUB2,0
1685691253095300,SUB3,0
1685691253095377,SUB4,5
1685691253095705,SUB5,5
1685691253096821,SUB11,3
1685691253096940,SUB12,3
1685691253856480,SUB3,0
1685691253856671,SUB8,0
1685691253856803,SUB11,3
1685691253856892,SUB12,3
1685691253856980,SUB13,0
1685691254860272,SUB4,6
1685691254860492,SUB9,0
1685691254860528,SUB11,4
1685691254860564,SUB12,4
1685691254860705,SUB13,0
1685691255864250,SUB5,6
1685691255864587,SUB10,0
1685691255864614,SUB11,5
1685691255864646,SUB12,5
1685691255864904,SUB13,0
1685691257866513,SUB11,5
1685691257866560,SUB12,5
1685691257866618,SUB13,0
1685691258100764,SUB2,0
1685691258100957,SUB3,0
1685691258101076,SUB4,6
1685691258101176,SUB5,6
1685691258101273,SUB11,5
1685691258101351,SUB12,5
1685691258101505,SUB2,0
1685691258101562,SUB3,0
1685691258101615,SUB4,5
1685691258101837,SUB5,5
1685691258102850,SUB11,5
1685691258102947,SUB12,5
1685691258871368,SUB2,0
1685691258871404,SUB7,0
1685691258871431,SUB11,5
1685691258871465,SUB12,5
1685691258871491,SUB13,0
1685691259875048,SUB3,0
1685691259875205,SUB8,0
1685691259875295,SUB11,5
1685691259875411,SUB12,5
1685691259875596,SUB13,0
1685691260878359,SUB4,6
1685691260878433,SUB9,0
1685691260878444,SUB11,6
1685691260878451,SUB12,6
1685691260878482,SUB13,0
1685691261882713,SUB5,6
1685691261882992,SUB10,0
1685691261883019,SUB11,7
1685691261883054,SUB12,7
1685691261883307,SUB13,0
1685691263107700,SUB2,0
1685691263107834,SUB3,0
1685691263107910,SUB4,6
1685691263108011,SUB5,6
1685691263108141,SUB11,7
1685691263108222,SUB12,7
1685691263108370,SUB2,0
1685691263108427,SUB3,0
1685691263108479,SUB4,5
1685691263108678,SUB5,5
1685691263109678,SUB11,7
1685691263109741,SUB12,7
1685691263889922,SUB11,7
1685691263890045,SUB12,7
1685691263890140,SUB13,0
1685691264893031,SUB2,0
1685691264893077,SUB7,0
1685691264893104,SUB11,7
1685691264893122,SUB12,7
1685691264893139,SUB13,0
1685691265896109,SUB3,0
1685691265896182,SUB8,0
1685691265896199,SUB11,7
1685691265896227,SUB12,7
1685691265896244,SUB13,0
1685691266899938,SUB4,6
1685691266899994,SUB9,0
1685691266900008,SUB11,8
1685691266900015,SUB12,8
1685691266900048,SUB13,0
1685691267899452,SUB5,6
1685691267899688,SUB10,0
1685691267899700,SUB11,9
1685691267899708,SUB12,9
1685691267899889,SUB13,0
1685691268114256,SUB2,0
1685691268114424,SUB3,0
1685691268114510,SUB4,6
1685691268114610,SUB5,6
1685691268114691,SUB11,9
1685691268114771,SUB12,9
1685691268114957,SUB2,0
1685691268115019,SUB3,0
1685691268115095,SUB4,5
1685691268115381,SUB5,6
1685691268115523,SUB11,9
1685691268115596,SUB12,9
1685691269910792,SUB11,9
1685691269910847,SUB12,9
1685691269910864,SUB13,0
1685691270909968,SUB2,0
1685691270910007,SUB7,0
1685691270910037,SUB11,9
1685691270910078,SUB12,9
1685691270910107,SUB13,0
1685691271915518,SUB3,0
1685691271915636,SUB8,0
1685691271915754,SUB11,9
1685691271915893,SUB12,9
1685691271916083,SUB13,0
1685691272914178,SUB4,6
1685691272914263,SUB9,0
1685691272914272,SUB11,10
1685691272914287,SUB12,10
1685691272914330,SUB13,0
1685691273120066,SUB2,0
1685691273120200,SUB3,0
1685691273120281,SUB4,6
1685691273120379,SUB5,6
1685691273120479,SUB11,10
1685691273120564,SUB12,10
1685691273120749,SUB2,0
1685691273120804,SUB3,0
1685691273120856,SUB4,6
1685691273120915,SUB5,5
1685691273121907,SUB11,10
1685691273121989,SUB12,10
1685691273921181,SUB5,6
1685691273921492,SUB10,0
1685691273921505,SUB11,11
1685691273921528,SUB12,11
1685691273921752,SUB13,0
1685691275930318,SUB11,11
1685691275930431,SUB12,11
1685691275930596,SUB13,0
1685691276933517,SUB2,0
1685691276933547,SUB7,0
